date,close,volume,pnl
10/25/19,3022.55,3370370000,-503708.3926
10/24/19,3010.29,3692600000,-366061.9379
10/23/19,3004.52,3392870000,-172282.005
10/22/19,2995.99,3523890000,-254690.7284
10/21/19,3006.72,3271620000,320378.8413
10/18/19,2986.2,3264290000,-612690.9434
10/17/19,2997.95,3115960000,350834.239
10/16/19,2989.69,3222570000,-246629.0055
10/15/19,2995.68,3340740000,178850.8163
10/14/19,2966.15,2557020000,-881713.6237
10/11/19,2970.27,3580460000,123015.9204
10/10/19,2938.13,3217250000,-959643.6121
10/9/19,2919.4,2726820000,-559244.7061
10/8/19,2893.06,3356450000,-786465.8601
10/7/19,2938.79,2940140000,1365417
10/4/19,2952.01,2990830000,394725.8417
10/3/19,2910.63,3503640000,-1235533.686
10/2/19,2887.61,3912520000,-687336.5262
10/1/19,2940.25,3558040000,1571737.391
9/30/19,2976.74,3247610000,1089526.926
9/27/19,2961.79,3243650000,-446380.585
9/26/19,2977.62,3077240000,472655.8301
9/25/19,2984.87,3318870000,216472.19
9/24/19,2966.6,3868160000,-545509.9189
9/23/19,2991.78,3186590000,751830.3097
9/20/19,2992.07,6094740000,8658.887602
9/19/19,3006.79,3251290000,439513.1914
9/18/19,3006.73,3435540000,-1791.493987
9/17/19,3005.7,3671840000,-30753.9801
9/16/19,2997.96,4274640000,-231102.7243
9/13/19,3007.39,3520060000,281563.1382
9/12/19,3009.57,3791860000,65090.94818
9/11/19,3000.93,3927550000,-257975.1341
9/10/19,2979.39,4390770000,-643146.3412
9/9/19,2978.43,4002890000,-28663.90378
9/6/19,2978.71,3208280000,8360.305271
9/5/19,2976,3890700000,-80915.81173
9/4/19,2937.78,3163260000,-1141181.669
9/3/19,2906.27,3426790000,-940832.9253
8/30/19,2926.46,3008450000,602837.7265
8/29/19,2924.58,3176190000,-56133.47825
8/28/19,2887.94,3097420000,-1094005.661
8/27/19,2869.16,3533630000,-560737.6178
8/26/19,2878.38,2857600000,275292.9093
8/23/19,2847.11,3937300000,-933666.9493
8/22/19,2922.95,2890880000,2264448.399
8/21/19,2924.43,3011190000,44190.185
8/20/19,2900.51,3066300000,-714208.936
8/19/19,2923.65,3212880000,690919.5141
8/16/19,2888.68,3498150000,-1044142.412
8/15/19,2847.6,4038000000,-1226576.216
8/14/19,2840.6,4312530000,-209007.6318
8/13/19,2926.32,3853600000,2559447.742
8/12/19,2882.7,2851630000,-1302416.128
8/9/19,2918.65,3350640000,1073403.48
8/8/19,2938.09,4106370000,580444.0516
8/7/19,2883.98,4491750000,-1615628.994
8/6/19,2881.77,4154240000,-65986.69517
8/5/19,2844.74,4513730000,-1105650.372
8/2/19,2932.05,3874660000,2606922.333
8/1/19,2953.56,4762300000,642250.5942
7/31/19,2980.38,4623430000,800797.812
7/30/19,3013.18,3634330000,979350.046
7/29/19,3020.97,3203710000,232595.6359
7/26/19,3025.86,3257590000,146006.7599
7/25/19,3003.67,3645270000,-662554.1927
7/24/19,3019.56,3428980000,474447.3241
7/23/19,3005.47,3313660000,-420702.5045
7/22/19,2985.03,3003720000,-610302.2848
7/19/19,2976.61,3260360000,-251406.3228
7/18/19,2995.11,3296580000,552377.3125
7/17/19,2984.42,3181600000,-319184.5119
7/16/19,3004.04,3290650000,585818.5336
7/15/19,3014.3,2874970000,306345.4717
7/12/19,3013.77,2974960000,-15824.86355
7/11/19,2999.91,3154620000,-413835.1109
7/10/19,2993.07,3154240000,-204230.3145
7/9/19,2979.63,3028210000,-401294.653
7/8/19,2975.95,2904550000,-109878.2978
7/5/19,2990.41,2434210000,431750.0508
7/3/19,2995.82,1963720000,161533.0411
7/2/19,2973.01,3206840000,-681066.2972
7/1/19,2964.33,3513270000,-259169.4634
6/28/19,2941.76,5420700000,-673900.3213
6/27/19,2924.92,3122920000,-502812.6456
6/26/19,2913.78,3478130000,-332620.7168
6/25/19,2917.38,3578050000,107489.6392
6/24/19,2945.35,3136250000,835134.7801
6/21/19,2950.46,5000120000,152575.5712
6/20/19,2954.18,3905940000,111072.6272
6/19/19,2926.46,3287890000,-827670.2218
6/18/19,2917.75,3437620000,-260065.2104
6/17/19,2889.67,2810140000,-838419.1857
6/14/19,2886.98,2922330000,-80318.64706
6/13/19,2891.64,3069810000,139139.3663
6/12/19,2879.84,3034130000,-352327.1507
6/11/19,2885.72,3548420000,175566.4107
6/10/19,2886.73,3209210000,30156.81544
6/7/19,2873.34,3220250000,-399801.7413
6/6/19,2843.49,3396410000,-891268.2583
6/5/19,2826.15,3548830000,-517741.7621
6/4/19,2803.27,3810430000,-683156.3735
6/3/19,2744.45,3966700000,-1756261.271
5/31/19,2752.06,3981020000,227221.154
5/30/19,2788.86,3273790000,1098782.978
5/29/19,2783.02,3700050000,-174372.0814
5/28/19,2802.39,4121410000,578353.9753
5/24/19,2826.06,2887390000,706744.3777
5/23/19,2822.24,3891980000,-114058.4505
5/22/19,2856.27,3192510000,1016075.673
5/21/19,2864.36,3218700000,241553.1059
5/20/19,2840.23,3288870000,-720479.1649
5/17/19,2859.53,3257950000,576263.899
5/16/19,2876.32,3338060000,501319.7339
5/15/19,2850.96,3125950000,-757204.7916
5/14/19,2834.41,3322720000,-494153.758
5/13/19,2811.87,3894030000,-673004.5743
5/10/19,2881.4,3529600000,2076042.948
5/9/19,2870.72,3638820000,-318885.9296
5/8/19,2879.42,3485790000,259766.6281
5/7/19,2884.05,3767100000,138243.6193
5/6/19,2932.47,3181520000,1445735.647
5/3/19,2945.64,3338120000,393232.93
5/2/19,2917.52,3778890000,-839613.515
5/1/19,2923.73,3645850000,185419.6276
4/30/19,2945.83,3919330000,659866.9517
4/29/19,2943.03,3118780000,-83603.05271
4/26/19,2939.88,3248500000,-94053.43429
4/25/19,2926.17,3425280000,-409356.3759
4/24/19,2927.25,3448960000,32246.89176
4/23/19,2933.68,3635030000,191988.4389
